PlayerID,nameFirst,nameLast,FullName,DebutYear,FinalYear,Years,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,BAvg,OBP,Slg,TB,PrimaryPosition,GG,InductionYear,votedBy
bergebi01,Bill,Bergen,Bill Bergen,1901,1911,11,947,3028,138,516,45,21,2,193,23,0,88,81,0,0,112,0,0,0.17041,0.19384,0.20112,609,Catcher,0,0,
vukovjo01,John,Vukovich,John Vukovich,1970,1981,10,277,559,37,90,14,1,6,44,4,5,29,109,3,2,12,5,9,0.161,0.20336,0.22182,124,ThirdBase,0,0,
holbebi01,Bill,Holbert,Bill Holbert,1876,1888,12,623,2335,182,486,41,7,0,144,16,0,58,91,0,3,0,0,0,0.20814,0.2283,0.23169,541,Catcher,0,0,
kahoemi01,Mike,Kahoe,Mike Kahoe,1895,1909,11,410,1309,103,278,43,14,4,105,21,0,39,0,0,4,32,0,0,0.21238,0.23743,0.27578,361,Catcher,0,0,
battijo01,Joe,Battin,Joe Battin,1871,1890,10,480,1953,228,439,51,25,3,143,26,5,40,36,0,1,0,0,0,0.22478,0.24072,0.28111,549,ThirdBase,0,0,
sinatma01,Matt,Sinatro,Matt Sinatro,1981,1992,10,140,252,20,48,6,1,1,21,2,1,17,35,1,1,5,1,11,0.19048,0.24354,0.23413,59,Catcher,0,0,
powerdo01,Doc,Powers,Doc Powers,1898,1909,11,647,2088,183,450,72,13,4,199,27,0,72,0,0,18,60,0,0,0.21552,0.24793,0.2682,560,Catcher,0,0,
ryanja01,Jack,Ryan,Jack Ryan,1889,1913,13,616,2192,245,476,69,29,4,189,32,0,85,80,0,7,43,0,0,0.21715,0.24869,0.28057,615,Catcher,0,0,
flintsi01,Silver,Flint,Silver Flint,1875,1889,13,760,2913,380,687,129,34,21,295,12,0,54,471,0,1,0,0,0,0.23584,0.25,0.32509,947,Catcher,0,0,
ryanmi02,Mike,Ryan,Mike Ryan,1964,1974,11,636,1920,146,370,60,12,28,161,4,4,152,370,23,4,11,11,69,0.19271,0.25204,0.28021,538,Catcher,0,0,
questjo01,Joe,Quest,Joe Quest,1871,1886,10,596,2295,300,499,78,17,1,161,5,0,104,161,0,3,0,0,0,0.21743,0.25229,0.26754,614,SecondBase,0,0,
haneyla01,Larry,Haney,Larry Haney,1966,1978,12,480,919,68,198,30,1,12,73,3,2,44,175,1,3,13,5,24,0.21545,0.25232,0.28945,266,Catcher,0,0,
casanpa01,Paul,Casanova,Paul Casanova,1965,1974,10,859,2786,214,627,87,12,50,252,2,10,101,430,25,9,10,24,78,0.22505,0.2524,0.31874,888,Catcher,0,0,
snydepo01,Pop,Snyder,Pop Snyder,1873,1891,18,930,3644,433,855,124,41,9,385,33,9,83,127,0,10,0,0,0,0.23463,0.25368,0.29857,1088,Catcher,0,0,
