PlayerID,nameFirst,nameLast,FullName,DebutYear,FinalYear,Years,W,L,WPct,ERA,G,GS,GF,CG,SHO,SV,IPOuts,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BFP,WHIP,H9,HR9,BB9,SO9,SOW,SH,SF,GIDP,GG,InductionYear,votedBy
aasedo01,Don,Aase,Don Aase,1977,1990,13,66,60,0.523809524,3.796875011,448,91,234,22,5,82,3328,1109.33333,1085,503,468,89,457,45,641,7,3,21,4730,1.390024043,8.802584161,0.722055291,3.707632223,5.200420689,1.402625821,0,0,0,0,0,
abbotgl01,Glenn,Abbott,Glenn Abbott,1973,1984,11,62,83,0.427586207,4.388024883,248,206,13,37,5,0,3858,1286,1405,707,627,162,352,28,484,32,5,18,5509,1.366251944,9.83281493,1.133748056,2.463452566,3.387247278,1.375,0,0,0,0,0,
abbotji01,Jim,Abbott,Jim Abbott,1989,1999,10,87,108,0.446153846,4.252688172,263,254,5,31,6,0,5022,1674,1779,880,791,154,620,30,888,32,11,53,7211,1.433094385,9.564516129,0.827956989,3.333333333,4.774193548,1.432258065,0,0,0,0,0,
abbotpa01,Paul,Abbott,Paul Abbott,1990,2004,11,43,37,0.5375,4.920444011,162,112,17,1,0,0,2162,720.66667,682,421,394,101,393,17,496,21,0,37,3187,1.491674369,8.517113744,1.261332094,4.907955574,6.194264541,1.262086514,8,12,0,0,0,
abernte02,Ted,Abernathy,Ted Abernathy,1955,1972,14,63,69,0.477272727,3.458321221,681,34,416,7,2,148,3443,1147.66667,1010,513,441,70,592,80,765,45,3,35,4963,1.395875686,7.920418217,0.548939876,4.642462955,5.999128649,1.29222973,0,0,0,0,0,
ackerji01,Jim,Acker,Jim Acker,1983,1992,10,33,49,0.402439024,3.970880958,467,32,159,0,0,30,2713,904.33333,918,447,399,82,329,40,482,32,2,31,3868,1.378916334,9.136011829,0.816070773,3.274235176,4.796903814,1.465045593,0,0,0,0,0,
adamsba01,Babe,Adams,Babe Adams,1906,1926,19,194,140,0.580838323,2.755286004,482,355,89,206,44,15,8986,2995.33333,2841,1129,917,68,430,0,1036,47,2,26,11947,1.092032051,8.536278665,0.204317828,1.292009794,3.112842202,2.409302326,0,0,0,0,0,
adamsmi03,Mike,Adams,Mike Adams,2004,2014,10,21,20,0.512195122,2.408346992,408,0,60,0,0,4,1222,407.33333,316,122,109,33,126,12,409,6,0,7,1653,1.085106392,6.981996784,0.729132576,2.783960743,9.036824951,3.246031746,13,6,2,0,0,
adamste01,Terry,Adams,Terry Adams,1995,2005,11,51,62,0.451327434,4.172162593,574,41,201,0,0,42,2608,869.33333,890,448,403,63,380,33,691,17,6,54,3801,1.460889576,9.213957091,0.652223929,3.934049095,7.153757696,1.818421053,26,9,0,0,0,
affelje01,Jeremy,Affeldt,Jeremy Affeldt,2002,2015,14,43,46,0.483146067,3.965442765,774,42,162,0,0,28,2778,926,904,455,408,76,396,41,720,42,9,55,4034,1.403887689,8.786177106,0.738660907,3.848812095,6.997840173,1.818181818,42,25,6,0,0,
agostju01,Juan,Agosto,Juan Agosto,1981,1993,13,40,33,0.547945205,4.009047387,543,2,198,0,0,29,1879,626.33333,639,313,279,30,248,47,307,30,7,21,2713,1.416178826,9.182011757,0.431080364,3.563597677,4.41138906,1.237903226,0,0,0,0,0,
aguilri01,Rick,Aguilera,Rick Aguilera,1985,2000,16,86,81,0.51497006,3.568404759,732,89,557,10,0,318,3874,1291.33333,1233,568,512,138,351,42,1030,36,10,53,5391,1.226639136,8.593443491,0.961796595,2.446308731,7.178626761,2.934472934,1,0,0,0,0,
aguirha01,Hank,Aguirre,Hank Aguirre,1955,1970,16,75,72,0.510204082,3.244972127,447,149,124,44,9,33,4127,1375.66667,1216,562,496,123,479,35,856,47,9,35,5790,1.232129873,7.955415537,0.804700749,3.133753324,5.600193832,1.787056367,0,0,0,0,0,
akerja01,Jack,Aker,Jack Aker,1964,1974,11,47,45,0.510869565,3.28150134,495,0,321,0,0,123,2238,746,679,312,272,64,274,68,404,40,0,13,3144,1.277479893,8.191689008,0.772117962,3.305630027,4.873994638,1.474452555,0,0,0,0,0,
alberma01,Matt,Albers,Matt Albers,2006,2015,10,27,31,0.465517241,4.201447502,394,23,88,0,0,0,1658,552.66667,551,280,258,53,237,24,389,23,0,22,2403,1.425814225,8.972858812,0.863088053,3.859469217,6.334740613,1.641350211,24,20,1,0,0,
